646,Advanced Practice and Research in Leadership in the Human Services II,SOWK 646,Social Work 640 and 642.,none,none
651,Policy as Context for Clinical Work,SOWK 651,Admission to the MSW program.,none,none
653,Comparative Approaches to Change,SOWK 653,Admission to the MSW program.,none,none
655,Thesis Research,SOWK 655,Admission to the MSW program.   ,none,none
657,Clinical Social Work Applications,SOWK 657,Social Work 653 and admission to the MSW program.,none,none
659,Evidence and Clinical Practice,SOWK 659,Admission to the MSW program.,none,none
660,Advanced Practicum,SOWK 660,Admission to the MSW program and Social Work 600$ 602$ 604 and 606.       ,none,Social Work 662.
662,Integrative Seminar,SOWK 662,Admission to the course-based MSW program and Social Work 600$ 602$ 604 and 606.,none,Social Work 660.
665,Influencing Policy Development,SOWK 665,Admission to the MSW program.   ,none,none
667,Leadership Theories in Action,SOWK 667,Admission to the MSW program.,none,none
669,Leading Organizations and Communities,SOWK 669,Social Work 667 and admission to the MSW program.   ,none,none
670,Advanced Methods and Epistemology in Social Work Research,SOWK 670,Admission to the MSW thesis-based program and Social Work 600$ 602$ 604 and 606.,none,none
671,Social Policy,SOWK 671,Admission to the MSW program.,none,none
672,Thesis Research Development,SOWK 672,Admission to the MSW thesis-based program and Social Work 600$ 602$ 604 and 606.,none,none
673,International Social Development,SOWK 673,Admission to the MSW program.,none,none
675,Advanced International Social Work Modules,SOWK 675,Social Work 673 and admission to the MSW program.    ,none,none
677,Social Work Research for International and Community Methods,SOWK 677,Admission to the MSW program.,none,none
679,Special Topics Seminar I,SOWK 679,Admission to the MSW program.,none,none
682,Special Seminar II,SOWK 682,Admission to the MSW program.,none,none
693,Research as a Foundation for Leadership,SOWK 693,Admission to the MSW program.,none,none
695,Becoming an Evidence-Based Leader,SOWK 695,Social Work 693 and admission to the MSW program.,none,none
696,Advanced Practicum,SOWK 696,Admission to the MSW program.,none,none
697,Diversity$ Oppression and Social Justice,SOWK 697,Admission to the MSW program.,none,none
699,Special Topics Seminar II,SOWK 699,Admission to the MSW program.,none,none
721,Integrative Research Colloquia,SOWK 721,Admission to the Social Work PhD program.,none,none
741,Research Foundations: Epistemology and Professional Knowledge-Building,SOWK 741,Admission to the Social Work PhD program.,none,none
743,Theory$ History and Philosophy: Values$ Ethics and Professional Beliefs,SOWK 743,Admission to the Social Work PhD program.,none,none
745,Research Methods I: Quantitative,SOWK 745,Admission to the Social Work PhD program.,none,none
747,Research Methods II: Qualitative,SOWK 747,Admission to the Social Work PhD program.,none,none
749,Quantitative Data Analysis,SOWK 749,Admission to the Social Work PhD program.,none,none
799,Special Topics Seminar,SOWK 799,Admission to the Social Work PhD program.,none,none
